,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,10 YR
2008-01-02,32.13,28.34,79.75,28.41,34.94,38.37,41.33,26.1,41.98,3.91
2008-01-03,31.78,28.22,80.21,28.2,35.18,38.58,41.8,26.08,42.08,3.91
2008-01-04,30.78,28.04,78.01,27.39,34.83,37.6,40.74,25.07,42.3,3.88
2008-01-07,30.93,28.55,77.04,27.55,35.57,37.34,40.25,24.97,43.25,3.86
2008-01-08,30.32,28.38,76.08,26.54,35.81,36.39,39.6,24.21,43.33,3.86
2008-01-09,30.56,28.63,77.14,26.96,36.41,36.7,39.97,24.63,43.83,3.82
2008-01-10,31.01,28.83,76.75,27.65,36.45,37.14,40.52,24.76,43.58,3.91
2008-01-11,30.24,28.24,75.61,27.61,36.5,36.37,40.08,24.23,43.37,3.82
2008-01-14,30.53,28.17,77.01,27.84,36.26,36.89,41.41,24.8,43.48,3.81
2008-01-15,29.87,27.77,74.1,26.78,35.72,36.03,40.16,24.19,42.91,3.72
2008-01-16,30.23,27.82,71.81,27.16,35.92,35.83,38.9,23.77,42.22,3.74
2008-01-17,29.66,27.44,68.87,25.91,35.22,34.62,36.79,23.42,40.63,3.66
2008-01-18,29.7,27.19,69.17,25.44,34.7,34.83,37.45,23.24,39.98,3.66
2008-01-22,30.07,26.93,67.5,26.01,33.61,34.92,37.02,22.62,38.72,3.52
2008-01-23,31.21,27.16,67.46,27.72,33.39,35.71,37.55,22.6,39.74,3.51
2008-01-24,31.43,27.03,69.67,27.86,33.4,36.01,38.55,23.13,38.85,3.68
2008-01-25,30.86,26.7,68.98,27.27,32.92,35.91,38.45,22.81,38.21,3.61
2008-01-28,31.39,26.95,70.28,28.11,33.35,36.36,39.2,22.99,38.67,3.61
2008-01-29,31.5,27.0,70.7,28.54,33.45,36.64,39.46,23.15,38.88,3.69
2008-01-30,31.28,26.79,70.24,28.12,33.18,36.74,39.44,23.09,38.81,3.78
2008-01-31,32.34,27.18,70.03,28.89,33.48,37.2,39.94,23.3,39.62,3.67
2008-02-01,32.83,27.47,71.19,29.55,33.86,37.84,40.94,23.58,40.25,3.62
2008-02-04,32.19,27.33,71.36,28.79,33.99,29.26,40.24,23.25,40.86,3.68
2008-02-05,31.35,26.83,68.64,27.48,33.32,28.51,38.9,22.55,39.49,3.61
2008-02-06,31.1,26.78,67.51,27.22,33.38,28.47,38.68,22.25,39.45,3.61
2008-02-07,31.64,27.08,68.61,27.65,33.4,28.48,38.9,22.23,39.23,3.74
2008-02-08,31.4,26.88,69.5,27.03,33.01,28.26,39.65,22.4,39.01,3.64
2008-02-11,31.82,27.14,71.44,26.54,33.04,28.55,40.2,22.65,39.38,3.62
2008-02-12,31.98,27.43,71.3,26.91,33.45,28.84,40.35,22.74,39.82,3.66
2008-02-13,32.34,27.52,73.04,27.08,33.61,29.35,40.79,23.3,39.83,3.7
2008-02-14,31.91,27.23,72.98,26.6,33.18,28.91,40.51,22.81,39.49,3.85
2008-02-15,32.09,27.35,72.86,26.75,33.34,28.73,40.44,22.72,39.63,3.76
2008-02-19,31.86,27.37,74.67,26.55,33.54,28.87,41.17,22.33,39.52,3.89
2008-02-20,32.2,27.41,76.01,26.99,33.5,28.97,41.67,22.53,39.5,3.93
2008-02-21,31.6,27.32,74.23,26.63,33.12,28.74,41.0,22.35,38.87,3.77
2008-02-22,32.06,27.52,74.83,27.08,33.14,29.03,41.35,22.48,39.31,3.79
2008-02-25,32.5,27.66,76.89,27.28,33.68,29.26,42.31,22.63,39.47,3.91
2008-02-26,32.98,27.89,78.08,27.4,33.79,29.28,42.34,22.82,39.84,3.88
2008-02-27,32.88,27.82,77.29,27.62,33.48,29.34,42.5,22.88,39.14,3.85
2008-02-28,32.06,27.66,78.66,26.81,33.26,29.12,42.3,22.84,38.85,3.71
2008-02-29,31.16,27.18,76.14,25.75,32.78,28.33,40.93,22.22,37.75,3.53
2008-03-03,31.19,27.33,76.84,25.44,32.79,28.74,41.45,22.14,38.18,3.54
2008-03-04,31.25,27.36,75.7,25.22,32.79,28.41,40.62,22.18,38.75,3.63
2008-03-05,31.23,27.48,77.29,25.09,32.78,28.78,41.62,22.38,38.78,3.7
2008-03-06,30.43,27.17,75.44,24.17,32.11,28.23,41.12,21.96,37.94,3.62
2008-03-07,30.18,27.06,73.93,24.25,31.75,27.83,39.55,21.99,37.78,3.56
2008-03-10,29.72,26.96,72.97,23.56,31.39,27.38,38.21,21.74,37.57,3.46
2008-03-11,30.62,27.44,76.15,25.31,31.3,28.31,40.61,22.48,38.7,3.6
2008-03-12,30.45,27.42,75.0,24.75,31.2,28.26,40.41,22.29,38.22,3.49
2008-03-13,30.48,27.43,76.11,24.8,31.29,28.65,41.33,22.32,38.28,3.56
2008-03-14,30.06,26.96,74.88,23.86,30.75,28.19,40.86,21.92,38.01,3.44
2008-03-17,29.56,26.86,72.57,23.48,30.65,28.05,39.95,21.88,37.88,3.34
2008-03-18,30.75,27.46,75.1,25.39,31.3,29.53,41.24,22.71,38.6,3.48
2008-03-19,30.49,27.36,71.0,24.96,31.24,28.45,38.84,22.12,37.78,3.38
2008-03-20,31.36,27.59,71.0,26.5,31.36,28.78,38.43,22.48,37.72,3.34
2008-03-24,32.28,27.9,72.12,26.63,31.53,29.43,39.68,23.12,37.46,3.56
2008-03-25,32.17,28.0,72.79,26.6,31.56,29.62,40.73,23.2,37.52,3.51
2008-03-26,31.57,27.91,74.47,25.66,31.4,29.38,40.86,22.92,37.72,3.51
2008-03-27,31.13,27.88,73.87,25.15,31.38,29.06,40.36,22.46,38.04,3.56
2008-03-28,30.44,27.84,73.55,24.62,31.18,28.95,40.24,22.41,37.65,3.47
2008-03-31,30.88,27.91,74.05,24.82,30.97,29.39,40.28,22.56,38.06,3.45
2008-04-01,32.12,28.3,75.39,26.68,31.72,30.06,41.27,23.33,38.99,3.57
2008-04-02,32.27,28.2,76.41,26.55,31.45,30.19,41.67,23.25,39.32,3.6
2008-04-03,32.05,28.14,76.51,26.64,31.47,30.06,42.37,23.27,39.13,3.61
2008-04-04,32.05,28.24,77.42,26.32,31.81,30.17,43.0,23.28,39.28,3.5
2008-04-07,31.94,28.19,77.67,26.53,31.91,29.98,42.7,23.24,39.35,3.57
2008-04-08,31.77,28.12,78.28,26.13,31.81,29.96,42.91,23.08,39.52,3.58
2008-04-09,31.12,27.89,78.75,25.65,31.66,29.67,42.57,22.93,39.52,3.49
2008-04-10,31.48,27.97,78.74,25.57,31.94,29.8,42.71,23.22,39.31,3.55
2008-04-11,30.83,27.79,77.58,25.11,31.5,28.63,42.14,22.6,39.29,3.49
2008-04-14,30.68,27.78,79.16,24.51,31.43,28.64,41.91,22.5,39.31,3.53
2008-04-15,30.64,27.94,79.87,24.73,31.36,28.77,42.11,22.52,39.63,3.6
2008-04-16,31.23,28.06,82.02,25.52,31.53,29.58,44.06,23.13,40.53,3.72
2008-04-17,31.42,27.97,82.08,25.9,31.29,29.23,43.87,23.17,40.55,3.75
2008-04-18,32.07,28.03,83.92,26.41,31.67,30.11,44.47,23.83,40.6,3.77
2008-04-21,32.02,28.12,84.45,25.96,31.48,30.01,44.44,23.99,40.34,3.75
2008-04-22,31.54,27.87,84.61,25.73,31.1,29.53,43.89,23.75,40.13,3.74
2008-04-23,31.62,28.11,83.87,25.52,31.45,29.54,43.33,24.08,40.46,3.77
2008-04-24,32.03,28.08,81.97,26.44,31.52,29.73,42.73,24.35,40.2,3.87
2008-04-25,32.36,27.96,83.05,26.96,31.85,30.15,43.98,24.15,40.34,3.91
2008-04-28,32.37,28.04,82.74,26.89,31.9,30.32,43.45,24.06,40.2,3.86
2008-04-29,32.58,28.16,81.29,26.77,31.63,30.04,42.19,24.21,40.03,3.85
2008-04-30,32.18,27.97,81.93,26.47,31.49,30.25,42.4,24.04,40.05,3.77
2008-05-01,33.24,28.17,80.28,27.51,32.03,30.45,42.1,24.83,40.48,3.78
2008-05-02,33.17,28.11,81.4,27.63,32.06,30.57,42.63,24.79,40.86,3.89
2008-05-05,32.75,28.13,82.42,27.23,31.96,30.49,43.29,24.68,40.41,3.88
2008-05-06,32.93,28.17,84.47,27.47,31.92,30.61,43.78,24.89,40.43,3.93
2008-05-07,32.49,27.92,83.35,26.46,31.49,30.13,43.18,24.49,39.82,3.87
2008-05-08,32.39,28.0,85.04,26.16,31.6,30.24,44.12,24.65,39.97,3.79
2008-05-09,32.21,27.8,84.61,25.92,31.45,30.05,43.54,24.5,40.08,3.77
2008-05-12,32.86,28.08,84.36,26.32,31.64,30.53,44.34,24.84,40.5,3.78
2008-05-13,32.98,28.05,85.42,25.99,31.49,30.73,44.54,24.85,40.35,3.9
2008-05-14,33.29,28.24,84.39,26.22,31.6,30.76,44.74,24.96,40.7,3.92
2008-05-15,33.72,28.43,86.0,26.53,31.58,30.94,45.42,25.43,40.59,3.83
2008-05-16,33.36,28.49,88.5,26.19,31.61,30.86,45.99,25.45,40.86,3.85
2008-05-19,33.31,28.41,89.27,26.05,31.76,31.21,45.86,25.37,41.32,3.83
2008-05-20,32.84,28.22,90.08,25.49,31.75,30.72,45.92,24.96,41.49,3.78
2008-05-21,32.18,27.93,88.87,24.82,31.58,30.2,44.53,24.53,41.39,3.81
2008-05-22,32.14,28.22,87.96,25.05,31.78,30.13,44.34,24.6,41.62,3.92
2008-05-23,31.68,28.11,86.36,24.59,31.4,29.69,43.77,24.46,40.86,3.85
2008-05-27,32.02,28.24,85.79,24.79,31.6,30.01,43.6,24.86,41.15,3.93
2008-05-28,32.21,28.13,87.29,24.64,31.56,30.21,44.77,25.0,41.15,4.03
2008-05-29,32.49,28.42,85.34,25.03,32.04,30.33,44.18,25.16,41.41,4.08
2008-05-30,32.35,28.44,85.9,24.82,32.08,30.52,44.41,25.28,41.36,4.06
2008-06-02,32.0,28.24,86.48,24.43,31.73,30.26,44.2,24.98,40.95,3.98
2008-06-03,31.96,28.18,84.85,24.25,31.88,30.16,44.14,24.84,40.7,3.92
2008-06-04,32.15,28.33,83.64,24.13,31.97,30.04,43.95,24.97,41.14,3.98
2008-06-05,32.54,28.62,87.34,24.59,32.2,30.26,45.4,25.43,41.67,4.06
2008-06-06,31.29,27.94,86.15,23.35,31.38,29.08,44.37,24.75,40.63,3.94
2008-06-09,31.24,28.02,88.48,22.93,31.25,29.38,44.84,24.67,41.24,4.02
2008-06-10,31.39,28.16,86.35,23.09,31.04,29.21,44.3,24.56,41.3,4.11
2008-06-11,30.71,27.92,87.14,22.39,30.64,28.66,43.5,23.94,40.97,4.1
2008-06-12,30.94,28.06,85.63,22.84,30.77,28.76,43.44,24.09,40.92,4.23
2008-06-13,31.68,28.11,86.37,23.31,31.12,29.09,44.59,24.54,41.48,4.27
2008-06-16,31.68,27.8,86.83,23.53,30.97,28.93,44.6,24.54,41.46,4.25
2008-06-17,31.25,27.67,88.38,22.83,30.84,28.87,44.65,24.37,41.52,4.23
2008-06-18,30.63,27.42,88.6,22.57,30.59,28.45,44.44,24.08,41.37,4.16
2008-06-19,31.0,27.5,86.64,22.74,30.73,28.82,44.49,24.33,41.71,4.22
2008-06-20,29.91,27.03,85.72,21.99,30.18,28.37,43.44,23.68,40.79,4.16
2008-06-23,29.45,26.97,89.07,21.4,30.26,28.43,43.89,23.53,41.07,4.19
2008-06-24,29.42,27.09,87.59,21.72,30.37,28.09,42.85,23.49,40.97,4.1
2008-06-25,30.11,27.35,87.01,21.78,30.63,27.88,42.93,23.81,41.24,4.12
2008-06-26,28.83,26.78,86.18,20.87,30.01,27.42,41.61,23.03,40.08,4.07
